2023-03-03 14:04:41,082 [AppLog] INFO : 手动正向点动指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},点动量{0.5MM},运动速度{5MM/s}
2023-03-03 14:04:42,159 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-03-03 14:04:51,238 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-03-03 14:04:53,281 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-03-03 14:05:05,356 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-03-03 14:05:05,715 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-03-03 14:05:05,808 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-03-03 14:05:13,530 [AppLog] INFO : 开启墨车和铺粉车回零校准：EncoderResetBtn_Click
2023-03-03 14:05:13,530 [AppLog] INFO : 开启墨车回零校准线程：InkCarEncoderResetThread
2023-03-03 14:05:13,530 [AppLog] INFO : 开启粉车回零校准线程：PowderCarHomeResetThread
2023-03-03 14:05:22,594 [AppLog] INFO : 手动正向点动指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},点动量{-116MM},运动速度{30MM/s}
2023-03-03 14:05:22,594 [AppLog] INFO : 粉车回零校准线程成功：PowderCarHomeResetThread
2023-03-03 14:05:37,242 [AppLog] INFO : 墨车回零校准线程成功：InkCarEncoderResetThread
2023-03-03 14:05:40,986 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:05:41,501 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:05:44,450 [AppLog] INFO : 手动控制墨车运动开启：沿Y轴后侧方向运动 ↓↓↓：nAxis{{1}},Dir{{true}},nPlsSpeed{{{nSpeed}}},nPlsCount{{750000}},cControlFlag{{{nCtlValue}}}
2023-03-03 14:05:45,386 [AppLog] INFO : 手动控制墨车运动带减速停止：沿Y轴方向运动 ↑↑↑↓↓↓ ====: bImmeStop{{false}},nAxisMask{{0x2}}
2023-03-03 14:05:46,446 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:05:46,946 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:06:20,891 [AppLog] INFO : 进入气压控制卡参数监控状态时
2023-03-03 14:06:29,019 [AppLog] INFO : 更新气压控制卡参数：DEV_AdibControl:二级墨盒加热电压：{12V}；MCU_SetPhVoltage:二级墨盒加热温度：{45℃}MCU_SetPhVoltage:负压目标值：{System.Single[]kPa}MCU_SetPhVoltage:负压阈值：{0.16kPa}
2023-03-03 14:06:32,357 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:06:35,477 [AppLog] INFO : 进入气压控制卡参数监控状态时
2023-03-03 14:06:35,493 [AppLog] INFO : 进入气压控制卡参数设置状态时
2023-03-03 14:06:38,800 [AppLog] INFO : 手动控制墨车运动开启：沿Y轴后侧方向运动 ↓↓↓：nAxis{{1}},Dir{{true}},nPlsSpeed{{{nSpeed}}},nPlsCount{{750000}},cControlFlag{{{nCtlValue}}}
2023-03-03 14:06:40,578 [AppLog] INFO : 手动控制墨车运动带减速停止：沿Y轴方向运动 ↑↑↑↓↓↓ ====: bImmeStop{{false}},nAxisMask{{0x2}}
2023-03-03 14:06:43,340 [AppLog] INFO : 开启手动压墨：PushInkBtn_Click
2023-03-03 14:06:48,768 [AppLog] INFO : 停止手动压墨：PushInkBtn_Click
2023-03-03 14:06:50,391 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:06:57,816 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:06:58,160 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:06:59,969 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:07:00,624 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:07:01,451 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:07:04,868 [AppLog] INFO : 开启闪喷： IDP_FlashPrtCtl(true)：ReturnCode{True}
2023-03-03 14:07:05,476 [AppLog] INFO : 关闭闪喷： IDP_FlashPrtCtl(false)：ReturnCode{True}
2023-03-03 14:07:10,156 [AppLog] INFO : 退出手动调试子模块,已执行修改
==========================================================================
